Level,Date and Time,Source,Event ID,Task Category
Error,12/9/2019 4:07:29 PM,SNMP,1500,None,The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information,12/9/2019 4:07:29 PM,Service Control Manager,7036,None,The Remote Registry service entered the running state.
Information,12/9/2019 4:07:28 PM,Service Control Manager,7036,None,The Network Location Awareness service entered the running state.
Information,12/9/2019 4:07:27 PM,Service Control Manager,7036,None,The jmx service entered the running state.
Information,12/9/2019 4:07:27 PM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,12/9/2019 4:07:27 PM,Service Control Manager,7036,None,The jenkins service entered the running state.
Information,12/9/2019 4:07:27 PM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,12/9/2019 4:07:24 PM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/9/2019 4:07:24 PM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/9/2019 4:07:24 PM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Security Accounts Manager service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Workstation service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Windows Firewall service entered the running state.
Information,12/9/2019 4:07:23 PM,Service Control Manager,7036,None,The Base Filtering Engine service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Task Scheduler service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Shell Hardware Detection service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The DHCP Client service entered the running state.
Information,12/9/2019 4:07:22 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,12/9/2019 4:07:22 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Network Store Interface Service service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The System Event Notification Service service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The COM+ Event System service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The User Profile Service service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Group Policy Client service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Windows Event Log service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The Remote Procedure Call (RPC) service entered the running state.
Information,12/9/2019 4:07:22 PM,Service Control Manager,7036,None,The RPC Endpoint Mapper service entered the running state.
Information,12/9/2019 4:07:21 PM,Service Control Manager,7036,None,The DCOM Server Process Launcher service entered the running state.
Information,12/9/2019 4:07:21 PM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the running state.
Information,12/9/2019 4:07:21 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T23:26:13.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/9/2019 4:07:21 PM,Service Control Manager,7036,None,The Power service entered the running state.
Information,12/9/2019 4:07:21 PM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information,12/9/2019 4:07:21 PM,Service Control Manager,7036,None,The Plug and Play service entered the running state.
Information,12/9/2019 4:07:18 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/9/2019 4:07:18 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Critical,12/9/2019 4:07:17 PM,Microsoft-Windows-Kernel-Power,41,(63),"The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
Information,12/9/2019 4:07:22 PM,EventLog,6013,None,The system uptime is 7 seconds.
